Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","204","Benin","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2019","2019","%","27.2","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2019","2019","%","8.5","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2019","2019","%","50.8","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","854","Burkina Faso","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2018","2018","%","39.4","E","Estimated value","Estimated | Demographic and Health Survey | Agricultural households have at least one working-age adult self-employed in agriculture. An individual owns agricultural land if they're part of such a household and own land themselves or jointly with others. and if the household owns land used for agriculture"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2018","2018","%","20.98","E","Estimated value","Estimated | Demographic and Health Survey | Agricultural households have at least one working-age adult self-employed in agriculture. An individual owns agricultural land if they're part of such a household and own land themselves or jointly with others. and if the household owns land used for agriculture"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2018","2018","%","56.69","E","Estimated value","Estimated | Demographic and Health Survey | Agricultural households have at least one working-age adult self-employed in agriculture. An individual owns agricultural land if they're part of such a household and own land themselves or jointly with others. and if the household owns land used for agriculture"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","120","Cameroon","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2019","2019","%","36.2","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2019","2019","%","11.2","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2019","2019","%","63.8","E","Estimated value","Estimated | Enqu+¬te Harmonis+¬e sur les conditions de vie des m+¬nages (WAEMU) | Self-reported ownership is used for the estimates"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2023","2023","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","384","Côte d'Ivoire","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2023","2023","%","14.9","A","Official value","Country Data | National Agricultural Sample Survey (2022-2023) | The individual has the possession of legal documents over the parcel or the right to sell or the right to bequeath the parcel"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-_T","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2023","2023","%","1.1","A","Official value","Country Data | National Agricultural Sample Survey (2022-2023) | The individual has the possession of legal documents over the parcel or the right to sell or the right to bequeath the parcel"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-F","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2018","2018","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2019","2019","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2020","2020","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2021","2021","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2022","2022","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2023","2023","%","22.8","A","Official value","Country Data | National Agricultural Sample Survey (2022-2023) | The individual has the possession of legal documents over the parcel or the right to sell or the right to bequeath the parcel"
"SDGB","SDG Indicators","270","Gambia","6121","Value","SP_LGL_LNDAGSEC-M","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)","2024","2024","%","","O","Missing value","Not Available | NA | NaN = A figure was not provided"
